risk_number,risk_name,round,criteria,actor_sector_category,actor_sector_name,vuln_resp_level,count,total,pct
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Developer (General-purpose AI),Not at all vulnerable,7,74,9.5
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Developer (Specialised AI),Extremely vulnerable,6,72,8.3
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Developer (Specialised AI),Highly vulnerable,15,72,20.8
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Developer (Specialised AI),Minimally vulnerable,23,72,31.9
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Developer (Specialised AI),Moderately vulnerable,24,72,33.3
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Developer (Specialised AI),Not at all vulnerable,4,72,5.6
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Governance Actor,Extremely vulnerable,3,74,4.1
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Governance Actor,Highly vulnerable,14,74,18.9
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Governance Actor,Minimally vulnerable,19,74,25.7
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Governance Actor,Moderately vulnerable,32,74,43.2
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Governance Actor,Not at all vulnerable,6,74,8.1
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Infrastructure Provider,Extremely vulnerable,3,71,4.2
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Infrastructure Provider,Highly vulnerable,4,71,5.6
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Infrastructure Provider,Minimally vulnerable,38,71,53.5
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Infrastructure Provider,Moderately vulnerable,7,71,9.9
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI Infrastructure Provider,Not at all vulnerable,19,71,26.8
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI User,Don't Know/Unsure,1,74,1.4
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI User,Extremely vulnerable,54,74,73.0
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI User,Highly vulnerable,14,74,18.9
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI User,Moderately vulnerable,4,74,5.4
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,AI User,Not at all vulnerable,1,74,1.4
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,Affected Stakeholder,Don't Know/Unsure,2,70,2.9
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,Affected Stakeholder,Extremely vulnerable,52,70,74.3
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,Affected Stakeholder,Highly vulnerable,10,70,14.3
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Actor,Affected Stakeholder,Moderately vulnerable,6,70,8.6
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Accommodation,Don't Know/Unsure,3,73,4.1
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Accommodation,Extremely vulnerable,8,73,11.0
1.1,1.1 Unfair discrimination and misrepresentation,2,Vulnerability,Sector,Accommodation,Highly vulnerable,22,73,30.1
